nombre;codigo_local;provincia;distrito;centro_poblado;direccion;tipo_gestion
PERU ESPAÑA;674922;Chiclayo;Chiclayo;CHICLAYO;CALLE ALCALA 137;Privada
CONSUELITO DE JESUS;674936;Chiclayo;Chiclayo;CHICLAYO;PASAJE 28 DE JULIO 324;Privada
JAVIER HERAUD;674941;Chiclayo;Tumán;TUMAN;AVENIDA SANTA ANA 269;Privada
ANGELUS;674955;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE RAMON CASTILLA 155;Privada
MAGISTER COLLEGE SCHOOL;674960;Chiclayo;La Victoria;LA VICTORIA;CALLE LAS ÑUSTAS 1795;Privada
SAGRADO CORAZON DE JESUS;674979;Chiclayo;Pátapo;LA CRIA;CALLE 3 DE OCTUBRE 10;Privada
11579;674984;Chiclayo;Chongoyape;MIRADOR;CALLE LOS CIRUELOS S/N;Pública
ESPERANZA COLLEGE;675002;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;JIRON PURISIMA 1573;Privada
LOS PASTORCITOS DE JESUS;675016;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE LUIS HEYSEN 171;Privada
SANTA ROSA DE LIMA;675040;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;JIRON CONQUISTA 300;Privada
CAP. FAP JOSE ABELARDO QUIÑONES;675064;Chiclayo;Chiclayo;CHICLAYO;MZ XVI LOTE 1 ETAPA I;Pública
RODOLFO DIESSEL;675078;Chiclayo;La Victoria;LA VICTORIA;AVENIDA LOS INCAS 109;Privada
HARVARD COLLEGE;675115;Chiclayo;Chiclayo;CHICLAYO;ELIAS AGUIRRE;Privada
JOHANS KEPLER;675120;Chiclayo;Tumán;TUMAN;CALLE BLOCK 03 312-A;Privada
ADONAI;675139;Chiclayo;Tumán;TUMAN;BLOCK 18 MZ 02 LOTE 1 SECTOR 08;Privada
JUAN PABLO II;675144;Chiclayo;Monsefú;MONSEFU;AVENIDA CARLOS CONDOY 626;Privada
LUCERITOS DEL SABER;675182;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;CALLE INCANATO 713;Privada
ROSA DE SANTA MARIA;675219;Chiclayo;Santa Rosa;SANTA ROSA;AVENIDA MARISCAL CASTILLA 1040;Privada
SAGRADO CORAZON DE JESUS;675224;Chiclayo;Pátapo;TAYMI;CALLE 3 DE OCTUBRE 10;Privada
UN NUEVO PATAPO;675257;Chiclayo;Pátapo;POSOPE ALTO;CALLE MESONES MURO S/N MZ B-14 LOTE 4;Privada
MI MUNDO MAGICO DE LOS NIÑOS;675832;Chiclayo;La Victoria;LA VICTORIA;AVENIDA MANCO INCA 410;Privada
MANUEL SEOANE CORRALES;675846;Chiclayo;José Leonardo Ortiz;JOSE LEONARDO ORTIZ;AVENIDA LA DESPENSA 1290;Privada
CESAR AUGUSTO COLLEGE;675851;Chiclayo;Chiclayo;CHICLAYO;CALLE LOS ZAFIROS 270;Privada
